,name,gene_reaction_rule,subunit_mw,subunit_num
MDDCP2pp_num2,"Murein D,D-carboxypeptidase (murein5px4px4p) (periplasm)",b0839,43.60891,2
MDDCP2pp_num3,"Murein D,D-carboxypeptidase (murein5px4px4p) (periplasm)",b0632,44.44396,2
MDDCP2pp_num4,"Murein D,D-carboxypeptidase (murein5px4px4p) (periplasm)",b3182,51.79831,1
MDDCP2pp_num5,"Murein D,D-carboxypeptidase (murein5px4px4p) (periplasm)",b2010,43.34606,1
MDDCP2pp_num6,"Murein D,D-carboxypeptidase (murein5px4px4p) (periplasm)",b0376,41.849 ,1 
MDDCP3pp_num1,"Murein D,D-carboxypeptidase (murein5p5p) (periplasm)",b2430,47.752,1
MDDCP3pp_num2,"Murein D,D-carboxypeptidase (murein5p5p) (periplasm)",b0839,43.60891,2
MDDCP3pp_num3,"Murein D,D-carboxypeptidase (murein5p5p) (periplasm)",b0632,44.44396,2
MDDCP3pp_num4,"Murein D,D-carboxypeptidase (murein5p5p) (periplasm)",b3182,51.79831,1
MDDCP3pp_num5,"Murein D,D-carboxypeptidase (murein5p5p) (periplasm)",b2010,43.34606,1
MDDCP3pp_num6,"Murein D,D-carboxypeptidase (murein5p5p) (periplasm)",b0376,41.849 ,1 
EAR140x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:0),b1288,27.86394,4
EAR40y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C4:0),b1288,27.86394,4
3OAS181,3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1),b1095,43.04576,2
EAR161y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:1),b1288,27.86394,4
G3PAT140,Glycerol-3-phosphate acyltransferase (C14:0),b1094 and b4041,8.63952 and 91.38145 ,1 and 1 
G3PAT160,Glycerol-3-phosphate acyltransferase (C16:0),b1094 and b4041,8.63952 and 91.38145 ,1 and 1 
G3PAT161,Glycerol-3-phosphate acyltransferase (C16:1),b1094 and b4041,8.63952 and 91.38145 ,1 and 1 
AGPAT160,1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0),b3018,27.45316,1
CDAPPA140,CDP-Diacylglycerol pyrophostatase (n-C14:0),b3918,28.45076,1
MLDCP1App_num1,"Murein L,D-carboxypeptidase (murein5px4p) (periplasm)",b1678,36.082,1
MLDCP1App_num2,"Murein L,D-carboxypeptidase (murein5px4p) (periplasm)",b1990,34.411,1
MLDCP1App_num3,"Murein L,D-carboxypeptidase (murein5px4p) (periplasm)",b0925,67.812,1
MLDCP1App_num4,"Murein L,D-carboxypeptidase (murein5px4p) (periplasm)",b1113,34.636,1
MLDCP1App_num5,"Murein L,D-carboxypeptidase (murein5px4p) (periplasm)",b0819,34.636 ,1 
EAR160y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:0),b1288,27.86394,4
EAR100y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C10:0),b1288,27.86394,4
3OAR141,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1),b1093,25.56029,4
3OAR161,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1),b1093,25.56029,4
3HAD141_num1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1),b0954,18.96905,2
3HAD141_num2,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1),b0180,17.03295 ,6 
EAR121x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:1),b1288,27.86394,4
PSD140,Phosphatidylserine decarboxylase (n-C14:0),b4160,35.93442,1
MICITDr,2-methylisocitrate dehydratase,b0118,93.49811,2
CDAPPA181,CDP-Diacylglycerol pyrophostatase (n-C18:1),b3918,28.45076,1
PGSA140,Phosphatidylglycerol synthase (n-C14:0),b1912,20.70064,1
LPLIPAL1A141pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:1) (periplasm)",b0494,23.62216,4
LPLIPAL1A180pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:0) (periplasm)",b0494,23.62216,4
LPLIPAL1E140pp,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:0) (periplasm)",b0494,23.62216,4
LPLIPAL1E161pp,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:1) (periplasm)",b0494,23.62216,4
LPLIPAL1G140pp,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C14:0) (periplasm)",b0494,23.62216,4
ACONTa_num1,"Aconitase (half-reaction A, Citrate hydro-lyase)",b0118,93.49811,2
ACONTa_num2,"Aconitase (half-reaction A, Citrate hydro-lyase)",b1276,97.67722 ,2 
MLDCP2App_num1,"Murein L,D-carboxypeptidase (murein5p5p) (periplasm)",b0925,67.812,1
MLDCP2App_num2,"Murein L,D-carboxypeptidase (murein5p5p) (periplasm)",b1678,36.082,1
MLDCP2App_num3,"Murein L,D-carboxypeptidase (murein5p5p) (periplasm)",b1113,34.636,1
MLDCP2App_num4,"Murein L,D-carboxypeptidase (murein5p5p) (periplasm)",b0819,34.636,1
MLDCP2App_num5,"Murein L,D-carboxypeptidase (murein5p5p) (periplasm)",b1990,34.411 ,1 
PGPP120pp_num1,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:0)",b0418,19.41811,1
PGPP120pp_num2,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:0)",b1278,29.02126 ,1 
PGPP181pp_num1,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:1)",b0418,19.41811,1
PGPP181pp_num2,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:1)",b1278,29.02126 ,1 
PGSA181,Phosphatidylglycerol synthase (n-C18:1),b1912,20.70064,1
PGPP140_num1,Phosphatidylglycerol phosphate phosphatase (n-C14:0),b0418,19.41811,1
PGPP140_num2,Phosphatidylglycerol phosphate phosphatase (n-C14:0),b1278,29.02126 ,1 
PGPP141_num1,Phosphatidylglycerol phosphate phosphatase (n-C14:1),b0418,19.41811,1
PGPP141_num2,Phosphatidylglycerol phosphate phosphatase (n-C14:1),b1278,29.02126 ,1 
MDDCP5pp_num1,"Murein D,D-carboxypeptidase (murein5p3p) (periplasm)",b2430,47.752,1
MDDCP5pp_num2,"Murein D,D-carboxypeptidase (murein5p3p) (periplasm)",b0839,43.60891,2
MDDCP5pp_num3,"Murein D,D-carboxypeptidase (murein5p3p) (periplasm)",b0632,44.44396,2
MDDCP5pp_num4,"Murein D,D-carboxypeptidase (murein5p3p) (periplasm)",b3182,51.79831,1
MDDCP5pp_num5,"Murein D,D-carboxypeptidase (murein5p3p) (periplasm)",b2010,43.34606,1
MDDCP5pp_num6,"Murein D,D-carboxypeptidase (murein5p3p) (periplasm)",b0376,41.849 ,1 
MLTGY3pp_num1,Murein lytic transglycosylase (murein3p3p) (periplasm),b0211,49.417,1
MLTGY3pp_num2,Murein lytic transglycosylase (murein3p3p) (periplasm),b2963,40.11251,1
MLTGY3pp_num3,Murein lytic transglycosylase (murein3p3p) (periplasm),b2701,40.25575,1
MLTGY3pp_num4,Murein lytic transglycosylase (murein3p3p) (periplasm),b4392,73.35315,1
MLTGY3pp_num5,Murein lytic transglycosylase (murein3p3p) (periplasm),b2813,40.41061,1
MLTGY3pp_num6,Murein lytic transglycosylase (murein3p3p) (periplasm),b1193,22.22655,1
MLTGY3pp_num7,Murein lytic transglycosylase (murein3p3p) (periplasm),b2558,58.30215,1
MLTGY3pp_num8,Murein lytic transglycosylase (murein3p3p) (periplasm),b1097,38.247 ,1 
G3PAT180,Glycerol-3-phosphate acyltransferase (C18:0),b1094 and b4041,8.63952 and 91.38145 ,1 and 1 
AGPAT140,1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0),b3018,27.45316,1
PGSA160,Phosphatidylglycerol synthase (n-C16:0),b1912,20.70064,1
MLDCP2Bpp_num1,"Murein L,D-carboxypeptidase (murein4p3p) (periplasm)",b1678,36.082,1
MLDCP2Bpp_num2,"Murein L,D-carboxypeptidase (murein4p3p) (periplasm)",b0819,34.636,1
MLDCP2Bpp_num3,"Murein L,D-carboxypeptidase (murein4p3p) (periplasm)",b1113,34.636,1
MLDCP2Bpp_num4,"Murein L,D-carboxypeptidase (murein4p3p) (periplasm)",b1990,34.411,1
MLDCP2Bpp_num5,"Murein L,D-carboxypeptidase (murein4p3p) (periplasm)",b0925,67.812 ,1 
3OAS140_num1,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0),b2323,42.61332,2
3OAS140_num2,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0),b1095,43.04576 ,2 
3OAR140,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0),b1093,25.56029,4
3OAR160,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0),b1093,25.56029,4
PGSA161,Phosphatidylglycerol synthase (n-C16:1),b1912,20.70064,1
3HAD181_num1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1),b0954,18.96905,2
3HAD181_num2,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1),b0180,17.03295 ,6 
PGPP160_num1,Phosphatidylglycerol phosphate phosphatase (n-C16:0),b0418,19.41811,1
PGPP160_num2,Phosphatidylglycerol phosphate phosphatase (n-C16:0),b1278,29.02126 ,1 
PGPP180_num1,Phosphatidylglycerol phosphate phosphatase (n-C18:0),b0418,19.41811,1
PGPP180_num2,Phosphatidylglycerol phosphate phosphatase (n-C18:0),b1278,29.02126 ,1 
PGPP161_num1,Phosphatidylglycerol phosphate phosphatase (n-C16:1),b0418,19.41811,1
PGPP161_num2,Phosphatidylglycerol phosphate phosphatase (n-C16:1),b1278,29.02126 ,1 
PGPP181_num1,Phosphatidylglycerol phosphate phosphatase (n-C18:1),b1278,29.02126,1
PGPP181_num2,Phosphatidylglycerol phosphate phosphatase (n-C18:1),b0418,19.41811 ,1 
CDAPPA180,CDP-Diacylglycerol pyrophostatase (n-C18:0),b3918,28.45076,1
NTP12,Nucleoside-triphosphatase (XTP),b4394,18.21266,2
PE141abcpp,"Phosphatidylethanolamine transport via ABC system (n-C14:1, periplasm)",b0914,64.46071,2
PE160abcpp,"Phosphatidylethanolamine transport via ABC system (n-C16:0, periplasm)",b0914,64.46071,2
PE161abcpp,"Phosphatidylethanolamine transport via ABC system (n-C16:1, periplasm)",b0914,64.46071,2
PSD141,Phosphatidylserine decarboxylase (n-C14:1),b4160,35.93442,1
PG140abcpp,"Phosphatidylglycerol transport via ABC system (n-C14:0, periplasm)",b0914,64.46071,2
PG141abcpp,"Phosphatidylglycerol transport via ABC system (n-C14:1, periplasm)",b0914,64.46071,2
PG180abcpp,"Phosphatidylglycerol transport via ABC system (n-C18:0, periplasm)",b0914,64.46071,2
PG181abcpp,"Phosphatidylglycerol transport via ABC system (n-C18:1, periplasm)",b0914,64.46071,2
PGP141abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C14:1, periplasm)",b0914,64.46071,2
PGP160abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C16:0, periplasm)",b0914,64.46071,2
PGP180abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C18:0, periplasm)",b0914,64.46071,2
PAPA181pp,"Phosphatidate phosphatase (periplasmic, n-C18:1)",b1278,29.02126,1
PA140abcpp,"Phosphatidate transport via ABC system (n-C14:0, periplasm)",b0914,64.46071,2
MDDCP4pp_num1,"Murein D,D-carboxypeptidase (murein5p4p) (periplasm)",b2430,47.752,1
MDDCP4pp_num2,"Murein D,D-carboxypeptidase (murein5p4p) (periplasm)",b0839,43.60891,2
MDDCP4pp_num3,"Murein D,D-carboxypeptidase (murein5p4p) (periplasm)",b0632,44.44396,2
MDDCP4pp_num4,"Murein D,D-carboxypeptidase (murein5p4p) (periplasm)",b3182,51.79831,1
MDDCP4pp_num5,"Murein D,D-carboxypeptidase (murein5p4p) (periplasm)",b2010,43.34606,1
MDDCP4pp_num6,"Murein D,D-carboxypeptidase (murein5p4p) (periplasm)",b0376,41.849 ,1 
CLPNS140pp_num1,"Cardiolipin synthase (periplasmic, n-C14:0)",b1249,54.82233,1
CLPNS140pp_num2,"Cardiolipin synthase (periplasmic, n-C14:0)",b0789,47.63351 ,1 
CLPNS141pp_num1,"Cardiolipin synthase (periplasmic, n-C14:1)",b1249,54.82233,1
CLPNS141pp_num2,"Cardiolipin synthase (periplasmic, n-C14:1)",b0789,47.63351 ,1 
PG120abcpp,"Phosphatidylglycerol transport via ABC system (n-C12:0, periplasm)",b0914,64.46071,2
PE140abcpp,"Phosphatidylethanolamine transport via ABC system (n-C14:0, periplasm)",b0914,64.46071,2
CFAS160E,"Cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C16:0)",b1661,43.909,2
CFAS180E,"Cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C18:0)",b1661,43.909,2
CFAS180G,"Cyclopropane fatty acid synthase (Phosphatidylglycerol, n-C18:0)",b1661,43.909,2
PAPA160,Phosphatidate phosphatase (n-C16:0),b1278,29.02126,1
PAPA180,Phosphatidate phosphatase (n-C18:0),b1278,29.02126,1
PAPA181,Phosphatidate phosphatase (n-C18:1),b1278,29.02126,1
PETNT161pp,Phosphoethanolamine transferase (c-C16:1),b3546,63.80439,1
PSSA160,Phosphatidylserine syntase (n-C16:0),b2585,52.80179,1
PSSA181,Phosphatidylserine syntase (n-C18:1),b2585,52.80179,1
DAGK140,Diacylglycerol kinase (n-C14:0),b4042,13.24468,3
DAGK160,Diacylglycerol kinase (n-C16:0),b4042,13.24468,3
DAGK141,Diacylglycerol kinase (n-C14:1),b4042,13.24468,3
DAGK161,Diacylglycerol kinase (n-C16:1),b4042,13.24468,3
AGPAT181,1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1),b3018,27.45316,1
MDDEP3pp_num1,"Murein D,D-endopeptidase (murein5px4p) (periplasm)",b1655,29.917,1
MDDEP3pp_num2,"Murein D,D-endopeptidase (murein5px4p) (periplasm)",b2175,21.04,1
MDDEP3pp_num3,"Murein D,D-endopeptidase (murein5px4p) (periplasm)",b2328,30.13667,2
MDDEP3pp_num4,"Murein D,D-endopeptidase (murein5px4p) (periplasm)",b3182,51.79831,1
MDDEP3pp_num5,"Murein D,D-endopeptidase (murein5px4p) (periplasm)",b2134,33.88741,1
MDDEP3pp_num6,"Murein D,D-endopeptidase (murein5px4p) (periplasm)",b0376,41.849,1
MDDEP3pp_num7,"Murein D,D-endopeptidase (murein5px4p) (periplasm)",b1856,49.058 ,1 
MDDEP4pp_num1,"Murein D,D-endopeptidase (murein4px4px4p) (periplasm)",b1655,29.917,1
MDDEP4pp_num2,"Murein D,D-endopeptidase (murein4px4px4p) (periplasm)",b0376,41.849,1
MDDEP4pp_num3,"Murein D,D-endopeptidase (murein4px4px4p) (periplasm)",b2328,30.13667,2
MDDEP4pp_num4,"Murein D,D-endopeptidase (murein4px4px4p) (periplasm)",b3182,51.79831,1
MDDEP4pp_num5,"Murein D,D-endopeptidase (murein4px4px4p) (periplasm)",b2134,33.88741,1
MDDEP4pp_num6,"Murein D,D-endopeptidase (murein4px4px4p) (periplasm)",b2175,21.04,1
MDDEP4pp_num7,"Murein D,D-endopeptidase (murein4px4px4p) (periplasm)",b1856,49.058 ,1 
MLTGY1pp_num1,Murein lytic transglycosylase (murein4p4p) (periplasm),b0211,49.417,1
MLTGY1pp_num2,Murein lytic transglycosylase (murein4p4p) (periplasm),b1193,22.22655,1
MLTGY1pp_num3,Murein lytic transglycosylase (murein4p4p) (periplasm),b2813,40.41061,1
MLTGY1pp_num4,Murein lytic transglycosylase (murein4p4p) (periplasm),b2963,40.11251,1
MLTGY1pp_num5,Murein lytic transglycosylase (murein4p4p) (periplasm),b4392,73.35315,1
MLTGY1pp_num6,Murein lytic transglycosylase (murein4p4p) (periplasm),b2701,40.25575,1
MLTGY1pp_num7,Murein lytic transglycosylase (murein4p4p) (periplasm),b2558,58.30215,1
MLTGY1pp_num8,Murein lytic transglycosylase (murein4p4p) (periplasm),b1097,38.247 ,1 
CGLYtex_num1,L-Cysteinylglycine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
CGLYtex_num2,L-Cysteinylglycine transport via diffusion (extracellular to periplasm),b0241,38.922,3
CGLYtex_num3,L-Cysteinylglycine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
CGLYtex_num4,L-Cysteinylglycine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
3HAD40_num1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),b0954,18.96905,2
3HAD40_num2,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),b0180,17.03295 ,6 
PLIPA1E141pp,"Phospholipase A1 (phosphatidylethanolamine, n-C14:1) (periplasm)",b3821,33.16313,2
3OAS60_num1,3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0),b1095,43.04576,2
3OAS60_num2,3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0),b2323,42.61332 ,2 
3OAS160_num1,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0),b2323,42.61332,2
3OAS160_num2,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0),b1095,43.04576 ,2 
3OAR60,3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0),b1093,25.56029,4
3OAR80,3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0),b1093,25.56029,4
MLDCP3App_num1,"Murein L,D-carboxypeptidase (murein5px3p) (periplasm)",b1678,36.082,1
MLDCP3App_num2,"Murein L,D-carboxypeptidase (murein5px3p) (periplasm)",b1990,34.411,1
MLDCP3App_num3,"Murein L,D-carboxypeptidase (murein5px3p) (periplasm)",b0925,67.812,1
MLDCP3App_num4,"Murein L,D-carboxypeptidase (murein5px3p) (periplasm)",b1113,34.636,1
MLDCP3App_num5,"Murein L,D-carboxypeptidase (murein5px3p) (periplasm)",b0819,34.636 ,1 
MLDCP1Bpp_num1,"Murein L,D-carboxypeptidase (murein4p4p) (periplasm)",b1678,36.082,1
MLDCP1Bpp_num2,"Murein L,D-carboxypeptidase (murein4p4p) (periplasm)",b1990,34.411,1
MLDCP1Bpp_num3,"Murein L,D-carboxypeptidase (murein4p4p) (periplasm)",b0925,67.812,1
MLDCP1Bpp_num4,"Murein L,D-carboxypeptidase (murein4p4p) (periplasm)",b1113,34.636,1
MLDCP1Bpp_num5,"Murein L,D-carboxypeptidase (murein4p4p) (periplasm)",b0819,34.636 ,1 
2AGPE181tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPA140tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPA160tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPA180tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPA141tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
PLIPA1G160pp,"Phospholipase A1 (phosphatidylglycerol, n-C16:0) (periplasm)",b3821,33.16313,2
PLIPA1G141pp,"Phospholipase A1 (phosphatidylglycerol, n-C14:1) (periplasm)",b3821,33.16313,2
LPLIPAL2E160,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:0)",b3825,38.97826,1
LPLIPAL2G140,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:0)",b3825,38.97826,1
LPLIPAL2G160,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C16:0)",b3825,38.97826,1
2AGPE140tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPE160tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPE180tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPE141tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPE161tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPA161tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPA181tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
2AGPG120tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm),b2835,41.65561,1
LPLIPAL2G120,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C12:0)",b3825,38.97826,1
PA141abcpp,"Phosphatidate transport via ABC system (n-C14:1, periplasm)",b0914,64.46071,2
PA161abcpp,"Phosphatidate transport via ABC system (n-C16:1, periplasm)",b0914,64.46071,2
PA180abcpp,"Phosphatidate transport via ABC system (n-C18:0, periplasm)",b0914,64.46071,2
PGPP161pp_num1,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C16:1)",b0418,19.41811,1
PGPP161pp_num2,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C16:1)",b1278,29.02126 ,1 
PE120abcpp,"Phosphatidylethanolamine transport via ABC system (n-C12:0, periplasm)",b0914,64.46071,2
PE180abcpp,"Phosphatidylethanolamine transport via ABC system (n-C18:0, periplasm)",b0914,64.46071,2
PAPA140,Phosphatidate phosphatase (n-C14:0),b1278,29.02126,1
PAPA141,Phosphatidate phosphatase (n-C14:1),b1278,29.02126,1
PAPA161,Phosphatidate phosphatase (n-C16:1),b1278,29.02126,1
GTHOXtex_num1,Glutathione (ox) transport via diffusion (extracellular to periplasm),b1377,41.21985,1
GTHOXtex_num2,Glutathione (ox) transport via diffusion (extracellular to periplasm),b0241,38.922,3
GTHOXtex_num3,Glutathione (ox) transport via diffusion (extracellular to periplasm),b0929,39.33331,3
GTHOXtex_num4,Glutathione (ox) transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
DSBAO1,DsbA protein reoxidation reaction (aerobic),b1185 and b3860,20.14219 and 23.10454 ,1 and 1 
DSBAO2,DsbA protein reoxidation reaction (anaerobic),b1185 and b3860,20.14219 and 23.10454 ,1 and 1 
DSBDR_num1,DsbD reductase,( b2582 and b4136 ),( 15.55477 and 61.7951 ),( 1 and 1 )
DSBDR_num2,DsbD reductase,( b3781 and b4136 ),( 11.80662 and 61.7951 ) ,( 1 and 1 ) 
TDSR1,Thiol:disulfide reductase (DsbC),b2893 and b4136,25.62166 and 61.7951 ,2 and 1 
CGLYabcpp,L-Cysteinylglycine (Cys-Gly) transport via ABC system (periplasm),b3540 and b3542 and b3544 and b3543 and b3541,37.56043 and 32.30847 and 60.29367 and 37.49695 and 35.84436 ,1 and 1 and 1 and 1 and 1 
PLIPA2A120pp,"Phospholipase A2 (phosphatidate, n-C12:0) (periplasm)",b3821,33.16313,2
PLIPA2A160pp,"Phospholipase A2 (phosphatidate, n-C16:0) (periplasm)",b3821,33.16313,2
LPLIPAL2E120,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C12:0)",b3825,38.97826,1
EAR100x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0),b1288,27.86394,4
EAR120x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:0),b1288,27.86394,4
EAR160x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:0),b1288,27.86394,4
EAR140y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:0),b1288,27.86394,4
3OAS121,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1),b2323,42.61332,2
3OAS80_num1,3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0),b2323,42.61332,2
3OAS80_num2,3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0),b1095,43.04576 ,2 
3OAS100_num1,3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0),b2323,42.61332,2
3OAS100_num2,3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0),b1095,43.04576 ,2 
3OAS120_num1,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0),b1095,43.04576,2
3OAS120_num2,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0),b2323,42.61332 ,2 
3OAR40,3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0),b1093,25.56029,4
3OAR100,3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0),b1093,25.56029,4
3HAD60_num1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0),b0954,18.96905,2
3HAD60_num2,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0),b0180,17.03295 ,6 
3HAD100_num1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0),b0954,18.96905,2
3HAD100_num2,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0),b0180,17.03295 ,6 
3HAD140_num1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0),b0954,18.96905,2
3HAD140_num2,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0),b0180,17.03295 ,6 
3HAD160_num1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0),b0954,18.96905,2
3HAD160_num2,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0),b0180,17.03295 ,6 
AGPAT180,1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0),b3018,27.45316,1
AGPAT141,1-tetradec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:1),b3018,27.45316,1
AGPAT161,1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1),b3018,27.45316,1
DASYN120,CDP-diacylglycerol synthetase (n-C12:0),b0175,31.45378,1
EAR40x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C4:0),b1288,27.86394,4
EAR60y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0),b1288,27.86394,4
MLDEP1pp,"Murein L,D-endopeptidase (murein3px3p) (periplasm)",b2328,30.13667,2
MLDEP2pp,"Murein L,D-endopeptidase (murein5px3p) (periplasm)",b2328,30.13667,2
MLTGY2pp_num1,Murein lytic transglycosylase (murein4p3p) (periplasm),b0211,49.417,1
MLTGY2pp_num2,Murein lytic transglycosylase (murein4p3p) (periplasm),b1193,22.22655,1
MLTGY2pp_num3,Murein lytic transglycosylase (murein4p3p) (periplasm),b2813,40.41061,1
MLTGY2pp_num4,Murein lytic transglycosylase (murein4p3p) (periplasm),b2963,40.11251,1
MLTGY2pp_num5,Murein lytic transglycosylase (murein4p3p) (periplasm),b4392,73.35315,1
MLTGY2pp_num6,Murein lytic transglycosylase (murein4p3p) (periplasm),b2701,40.25575,1
MLTGY2pp_num7,Murein lytic transglycosylase (murein4p3p) (periplasm),b2558,58.30215,1
MLTGY2pp_num8,Murein lytic transglycosylase (murein4p3p) (periplasm),b1097,38.247 ,1 
MLTGY4pp_num1,Murein lytic transglycosylase (murein4px4p4p) (periplasm),b0211,49.417,1
MLTGY4pp_num2,Murein lytic transglycosylase (murein4px4p4p) (periplasm),b2963,40.11251,1
MLTGY4pp_num3,Murein lytic transglycosylase (murein4px4p4p) (periplasm),b2701,40.25575,1
MLTGY4pp_num4,Murein lytic transglycosylase (murein4px4p4p) (periplasm),b4392,73.35315,1
